Micro Pollutant,MP Category,Initial Concentration of MP (mg/L),Compound MW (g/mol),Compound Charge,Log D (pH=6.5-7),pKa,Diffusivity (20 °C) ( × 10−10 m2/s),Stokes Radius/Compound size (nm),TOC (mg/L),Initial FS pH,Type of MB,FO membrane description,MB Contact Angle (°),MB Zeta Potential (mV),Draw Solution,DS MW (g mol-1),DS Concentration (M),Initial DS pH,Operating Time (h),Cross Flow Velocity (cm/s),"Water Flux, Jw (LMH)","Reverse Salt Flux, Js (gMH)",Temperature (⁰C),Removal Rate (%),Reference,Reference ID,Additional references,ID number
Atenolol,β-Blockers,0.01,266.34,1,-2.09,9.6,5.46,0.39,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Monoammonium phosphate (MAP),115,1,NaN,10,8.5,7.7,0.08,20,80,"(Kim, 2019)",1,,1
Atrazine,Herbicide,0.01,216,0,2.64,2.27,6.1,0.35,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Monoammonium phosphate (MAP),115,1,NaN,10,8.5,7.7,0.08,20,77,"(Kim, 2019)",1,,2
Primidone,Anticonvulsant,0.01,218,0,0.83,12.26,6.07,0.35,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Monoammonium phosphate (MAP),115,1,NaN,10,8.5,7.7,0.08,20,90,"(Kim, 2019)",1,,3
Caffeine,Stimulant,0.01,194,0,-0.63,0.52,6.46,0.33,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Monoammonium phosphate (MAP),115,1,NaN,10,8.5,7.7,0.08,20,81,"(Kim, 2019)",1,,4
Atenolol,β-Blockers,0.01,266.34,1,-2.09,9.6,5.46,0.39,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Monoammonium phosphate (MAP),115,2,NaN,10,8.5,9.5,0.08,20,80,"(Kim, 2019)",1,,5
Atrazine,Herbicide,0.01,216,0,2.64,2.27,6.1,0.35,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Monoammonium phosphate (MAP),115,2,NaN,10,8.5,9.5,0.08,20,83,"(Kim, 2019)",1,,6
Primidone,Anticonvulsant,0.01,218,0,0.83,12.26,6.07,0.35,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Monoammonium phosphate (MAP),115,2,NaN,10,8.5,9.5,0.08,20,92,"(Kim, 2019)",1,,7
Caffeine,Stimulant,0.01,194,0,-0.63,0.52,6.46,0.33,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Monoammonium phosphate (MAP),115,2,NaN,10,8.5,9.5,0.08,20,87,"(Kim, 2019)",1,,8
Atenolol,β-Blockers,0.01,266.34,1,-2.09,9.6,5.46,0.39,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Diammonium phosphate (DAP),132.1,1,NaN,10,8.5,7.6,0.49,20,89,"(Kim, 2019)",1,,9
Atrazine,Herbicide,0.01,216,0,2.64,2.27,6.1,0.35,n.a.,7.05,HTI CTA FO ,Fertilizer-drawn forward osmosis (FDFO) membrane process (active layer facing FS),79.5,-6.87,Diammonium phosphate (DAP),132.1,1,NaN,10,8.5,7.6,0.49,20,92,"(Kim, 2019)",1,,10
